Prefix	Stem	Tone	POS	Class	Gloss
nji	go	L	n	10	serving spoons; ladles
lu	go	L	n	11	ladle
	go	L	n	5	wasp
ma	go	L	n	6	wasps; hornets
n	gobhani	LHL	n	3	intestinal disorder
n	godi	LH	n	3	mine
chi	gogoro	LLL	n	7	hardened caterpillar in the ground before it hatches to be a butterfly 
	gola	HL	n	5	vulture; a black vulture
	gole	LH	n	5	year; cloud
	golelino	LHHH	n	5	this year
	gololwani	LLLL	n	5	white-billed storks
	gomba	LH	n	5	hole; opening dug on the ground
	gombo	HL	n	5	new field which is being ploughed the first time
	gombo	HH	n	5	enlarged navel
	gondalume	LLLL	n	5	tall and stout male person
	gonde	LL	n	5	cactus
	gondolo	LLH	n	5	big calf, fit to weaned; a grown up child
	gonya	HL	v		sleep with ones legs folded back
	gonyana	LLH	n	5	worm; maggot
	gonye	LL	n	5	big worm
ma	gonye	LL	n	6	game of touching by kids
	gonye-danga	LLLH	n	5	worm of the type found in the kraal
	gopo	LH	n	5	blind eye of either a person or an animal; a blind thing or person (derogative)
n	goro	HL	n	3	trough which cattle to drink from or be fed from; a boat or a canoe
chi	goro	HL	n	7	cow or goat which does not have adequate milk to feed its calf
	gorokoro	LLLL	n	5	windpipe
	gorokorwana	LLLLL	n	5	creek
	gorua	LLL	n	5	thin emancipated animal
lu	goti	HL	n	11	big wooden spoon, used when brewing beer
	gotsha	LL	n	5	shoot from the previous year's corn stalk or root of a reed
	govu	HL	n	5	greedy person
bu	govu	HL	n	14	greed
	gubungano	LHHL	n	5	assembly or gathering
n	gudugudu	LLLL	n	3	rectum
	gukhwa	LH	5	5	a bag made from ox hide used for carrying sour milk
	gukuno	LHL	n	5	salt licks; places in the veld when game and livestock come to lick
	gukurume	LHHL	n	5	cock
	gukuta	LHL	n	5	unbrayed and shrivelled skin
	gula	LL	n	5	part of the field that is left in fallow for a particular season
	gulu	LH	n	5	stomach
	gululu	LLL	n	5	big lizard  that lives on big boulders or large stones
	guma	LH	n	5	wall
	gumbatila	LHHL	v		hold hard onto something; struggle with each other
	gumbo	LL	n	5	leg; wheel; foot
	gumi	HL	n	5	ten
	gumu	LH	n	5	ox or cow without horns
	gumula	LLL	v		hit another with the head
	gunda	LL	n	5	owl
	gungubudza	LLLL	n	5	arge scorpion which is very poisonous
	gungwana	LLH	n	5	wheel
	guni	HH	n	5	log
	guse	HL	n	5	big lump of fur
	guta	HL	v		be full; be satisfied with food
	gutegute	LHLL	n	5	species of grasshopper or locust that is not edible
	gutukutu	LLLL	n	5	verandah
	guwo	HH	n	5	scream
	guwu	HH	n	5	cave
	gwa	L	v		fight; quarrel
bu	gwa	H	n	14	pus
	gwadza	HL	v		to hurt someone emotionally; to hurt physically.
	gwadza-moyo	HLLL	v		grieve; be hurt; sorrow
	gwakwa	LL	n	5	spineless monkey orange fruit
	gwakwa	HL	n	5	dry veld
bu	gwala	LH	n	14	timidity; cowardice
	gwala	HL	v		sick; ill
	gwala	LH	n	5	coward
	gwamu	LH	n	5	human milk
nji	gwana	LH	n	10	spoons; cutlery
lu	gwana	LH	n	11	spoon
	gwani	LL	n	5	leaf of corn, off the stalk
	gwata	LL	v		hide oneself
	gwati	LH	n	5	outer bark of a tree
bu	gwele	HL	n	14/6	illness; disease
n	gwele	HL	n	1/2	patient; sick person
	gwenya	LH	n	5	scabies
	gwere-gwere	LHLH	n	5	type of wild bird
	gwili	LH	n	5	potato
	gwilikwiti	LLLL	n	5	measles
	gwililila	LHHL	v		repeat; go over again; revise
	gwisa	LH	n	14	powder; flour
	gwisa	LL	v		struggle; try
	gwisanya	LLL	v		cause to quarrel or fight; stir up strife
n	gwisanyi	LLL	n	1	mischief-maker; stirrer of a strife
	ha	L	conj.		if; when
	hadzi	HH	adj.		female, as of an animal
	hakata	LHL	n	10	divining bones
lu	hala	LH	n	10	shotgun; ball bearings
	hali	HH	n	9	pot
	halula	LHL	v		escape; survive
n	hama	LL	n	3	half of the body
	hama	HH	n	9	relative
	hamba	HH	n	9/10	tortoise
	hamilo	LHL	n	9	small milking bucket
	hamujana	LHLH	n	9	small hammer
	hamuli	LHL	n	9	hammer
	hang'ara	LHH	n	9	hanger
	hanga	HH	n	9/10	guinea fowl
	hangang'wa	LHH	n	10	forgetfulness
	hanya	LL	n	10	shame
	hanyaa-paladza	LLLLLL	n	9	rhinoceros
	hanyanisi	LHHL	n	9	onion
	hapkha	LH	n	9/10	armpit
	haraka	LHH	n	9	rake, used in the garden
	hate	HH	n	9/10	headpad
	hazwadzi	HLL	n	9/10	brother; sister; sibling
	hlama	LL	n	9	fermented beer before it is boiled
	hobana	LLH	n	10	streams
	hobe	HL	n	9/10	fish
chi	hoke	HL	n	7	hook, as of a stick
	hoko	HL	n	9	an enclosure for fowls
	hola	LL	n	9	grown-up; elder
	holo	HL	n	9	hall
	hombana	LHH	n	10	finger or toe nails
	hombela	LLL	n	9/10	antbears
	homo	HH	n	9/10	bags; sacks
	hong'wana	LHH	n	9	small bag or sack; a pouch
	honyana	LLH	n	10	worms
	hope	HH	n	10	eye lashes; sleep
	hotela	LHL	n	9	hotel
	hubadzi	LHL	n	10	injuries
	hudzululu	LHLL	n	9	blackbird
	huku	HH	n	9/10	fowl; chicken
	hukwana	LHH	n	9	chick; chicken
	huleha	LHL	v		inspan; tie up an animal
	hulo	LL	n	9/10	tonsils
	huluba	LHL	n	9	dust; powder
	hulula	LHL	v		unbound, as of oxen that were inspan; outspan; unbound or set free
	hulunula	LLLL	v		unload; take out of something e.g. a truck
	huma	LL	n	9	big forehead that protrudes into the front
	hungubele	LHLH	n	9/10	butterfly
	huni	HH	n	10	firewood
	hupa	HL	n	9/10	ticks; bush lice
n	huta	HL	n	3	kind or type
	hutara	LHH	n	9	hooter
n	hutha	HL	n	4	fenced passages for handling cattle for spray dipping 
	hutshe	HL	n	9/10	hat
	hutshe	HL	n	9	hat
mi	hwa	H	n	3/4	thorn
	hwa	H	v		hear
	hwachulo	LLL	n	9/10	mushrooms
	hwakwa	LL	n	10	dried fruit of wild orange
	hwali	LH	n	9	patridge
	hwalo	HL	n	10	books; letters
	hwanano	LHL	n	9	mutual friendship
	hwarakwara	LLLL	n	10	type of birds
ma	hwi	H	n	6	voices
	hwi	H	n	5	voice
	hwidza	HL	v		make to taste 
	hwika	HL	v		be audible; be heard of; taste, as salt or spicing in a dish of meat
	hwila	HL	v		feel, as with pain
	hwila-zogwadza	HHLHL	v		to show mercy, compassion
	hwilila	LHL	v		hear about; hear of; listen
	hwisa	HL	v		cause to hear; give one to taste
	hwisisa	LHL	v		understand
bu	hwola	LL	n	14	position of sinority; adulthood
	hwoso	LH	n	9	type of traditional dancing to song while shaking a can or calabash full of small stones
	hwoto	LH	n	9	the hornbill bird
	hwudo	LL	n	10	baboons
	hwumbu	HL	n	9/10	hunchback
pa	hwunde	HL	adv.		near; nearby
mu	hwunde	HL	n	18	alongside; besides
	icho	HL	pron.		it (class 7)
	ikweno	HHL	dem.		there
	ila	LL	v		abstain from certain practices
	imi	LH	pron.		I; me
	ing'wi	LH	dem.		you (pl)
	ini	LH	pron.		what
	invilopo	HLHH	n	9	an envelop
	ipapa	HLL	dem.		right here; here
	ipi	HL	pron.		which (cl.9)
	iribadza	LLLL	v		cause to faint; apply anasthesia
	iribala	LLLL	v		faint
	isa	LL	v		take to; take something to someone
zwi	isana	HHH	n	8	small boys
ba	isana	HHH	n	2	boys
chi	isana	HHH	n	7	small boy
	iswi	LH	pron.		we; us
	ita	LL	v		do
	iye	HL	pron.		he; she 
	iyeje	HLL	dem.		that one, over there
	iyejee	HLLL	dem.		that one, far away
	iyeyi	HLL	dem.		this one, nearest me
bu	izelo	LLL	n	14/6	place for sleeping; bedroom
zwi	ja	L	n	8	goods; luggage;  household utensils
	ja	H	v		eat
chi	ja	L	n	7	plate or household utensils; vessel
n	ja	L	n	3	errand
	jabathu	LHL	n	5	cannibal; man-eater
	jacha	LL	n	5	old hut which is almost in ruin
	jaiva	LHL	v		jive
	jaji	HL	n	9	judge
n	jaka	LH	n	3	sound made with fingers when pounding corn
n	jalakang'wa	LHHL	n	10	thoughts; ideas
	jalo	HL	v		to say so
	jarada	LHH	n	9	yard or compound; yard length of material
ma	jaratini	LLHL	n	6	explosives; dynamite
	jasi	HL	n	5	coat
	jaxa	LL	v		hasten
	jaxa	LH	n	5	youth; young man
	jekecheke	LLHH	n	5	big knife
n	jekesa	LHL	n	10	prostitute
	jeki	HL	n	9	jug; jack
	jele	LL	n	9	prison
n	jelele	LHH	n	9	type of hawk
	jeli	HL	n	9/10	jelly
	jemu	HL	n	9/10	jam
	jenamiso	LHHL	n	5	surprise; wondering
	jende	LL	n	5	testicle
	jenetha	LHH	n	5	straw ant
	jenjedhu	LHH	n	5	clever person
	jeremani	LHLL	n	5	traditional dress for women, so named after the type of material used
	jesi	LH	n	7	sweater; jersey
lu	ji	H	n	11	right hand
n	jiba	LL	n	9	dove
	jila	HH	n	5	cloth
	jinyo	HL	n	5	money paid to a girl's parents by a boy's parents after he's made her pregnant
chi	jiso	HL	n	7	oral poison
n	jita	LH	n	3	fellow
ma	jo	H	n	6	lots of types of food
	joki	HL	n	5	yoke
n	jujuru	HLH	n	3	wild plant
	kaamudza	HLHL	v		stop raining
	kabhukana	HLHL	adv.		splash and spill, as water while being carried in a container
n	kabo	LL	n	3	type of calabash
	kadula	HHL	v		hit another
n	kadzi	HH	n	1	woman; a wife
chi	kadzi	HL	n	7	female one; womanly
i	kaka	HL	n	7	desert
n	kaka	LL	n	3	milk
	kakale	LHL	adv.		again; once more
	kakang'wa	LLL	v		stammer; stutter
n	kakhwa	HL	n	3	cooked and dried maize 
ma	kaki	LH	n	6	khakhi-coloured clothes
	kala	HL	v		to weigh
bu	kalagwa	HHL	n	14	of the parents-in-law, of the wife's side
n	kalagwa	HHL	n	1	parent-in-law, of the wife's side
	kalaka	HHH	n	9	lime; whitewash
i	kale	HL	n	7	measure; amount; a scale
	kale	LL	adv.		already
	kama	HH	v		milk, as of cows; comb one's hair
i	kamba	HH	n	7	back of the body
	kambaila	HHHL	v		crawl, as of a baby; creep
	kamela	LHL	n	9	camel
n	kami	HL	n	1	someone who does the milking
	kampa	HH	n	9	camp
ma	kamu	HL	n	6	relatives
	kamu	HL	n	9	comb
	kang'waza	HHH	adv.		on purpose; intentionally
	kanga	HL	v		roast; fry
	kangang'wa	HHL	v		forget
	kangula	HHL	v		wear something new for the first time 
	kanya	LL	v		roll up, as the legs of a pair of trousers or of shirt sleeves
	kanyi	HL	n	17	home
	kapa	HH	v		unsettle, as sediments in water, ie. to cause to be muddy
	kapi	HL	n	9	baby's sun hat
	kapuku	LHL	n	9	snow
i	kara	HL	n	7	share, of a plough
	kara	HL	n	9	car
	karata	HHH	n	9	cards 
mo	kashe	LL	n	3	lean starved dog
	kat'a	LL	v		become tame; docile
	kat'a	HH	v		play on something either making it dirty or spoiling it
	kat'ana	HHL	v		coiled up, as a snake
	kat'isa	LLL	v		discipline or train as of an animal
n	kat'iswani	LLLL	n	3	young ox being broken in to be yoked, or a young cow being trained to be milked
lu	kata	HH	n	11	heirloom
	katara	HHL	n	9	guitar, musical instrument
	kaThulo	HHL	n	9	sentence or a verdict; judgement
pa	kati	LH	n	16	middle
	katila	HHL	v		cushion a load carried on the head
	katsha	LL	v		crush s.o., as with a stone
	katsi	HL	n	7	cat
	kaya	LL	v		describe; say
	kaya	HH	v		tie together the hing legs of a cow so that it stand still while milking it
i	kayi	LH	n	7	example
n	kayo	HH	n	3	rope used for fastening a cow's legs when being milked
	keetani	HHLL	n	9	chain
	kekedza	HHL	v		cackle, as a hen in search of a place to make a nest
	keleka	HHL	v		examine; look into carefully
	kene	LL	conj.		perhaps; or; either
	kenta	HL	v		inject
n	kento	HL	n	3	injection; vaccination
i	kepe	HH	n	7	ship
	kepesi	HHL	n	9	cap
	kera	HL	v		cut hair; shave
n	keri	HH	n	1	barber
i	kero	HL	n	7	pair of scissors
	keta	HL	v		to play a counting game with stones 
i	kete	HL	n	7	skirt
	ketHa	LL	v		pluck a fruit, branch, leaf etc; reap by breaking off the heads
dzi	keto	HL	n	10	counting game of stones
i	keyi	HL	n	7	yoke-pin
dzi	khaba	HL	n	10	curses, believed to be cast on a person by a displeased relation
	khaba	LL	v		dress elegantly or smart; show off
	khabankaka	LHHL	n	9	type of plant which grows a big round root on the ground
	khabidza	LLL	v		to sit properly not showing one's underwear
	khabisa	LLL	v		decorate; make beautiful; garnish
n	khabiso	LLL	n	4	decoration; embroideries
n	khabo	LL	n	3	smart clothes; fashion
	khaboti	HHL	n	9	cupboard
n	khacha	LL	n	3	valley; dale
	khaisa	HHL	v		to out do someone in a competition; excel; surpass
	khaisana	HHHL	v		to out do each other
	khama	HL	v		choke a person or thing; throttle
	khandela	HLH	n	5	candle
	khani	HH	n	10	news; a court case; topic of discussion
	khapa	LL	v		to smear a floor or wall with dung making different beautiful patterns
	khapita	HHL	v		to choke, when drinking or eating sometthing
li	khapo	LL	n	11	patterns made on the floor or the wall with cow dung
	khari	LL	n	5	slice of water  melon with or without the edible part
	khata	HH	v		amuse; cause to laugh
	khaula	HHL	v		to stop doing an undesirable thing, often as a result of punishment or reprimand
	khawa	LL	n	9	dew
	khefi	HL	n	9	cafe
	kheipi	HHL	n	9	collar
ma	khekhe	HH	n	6	fat cakes; dornuts
	kheroti	HHL	n	9	carrot
	khetha	LL	v		pay tax; select or choose
n	khethi	LL	n	1	taxpayer
n	khethisi	LHL	n	1	tax collector
	khiba	HL	n	9	apron; pinafore
	khiga	HL	v		help to put a load on someone's head
	khina	LL	v		knee-halter a donkey or a horse
	khirisimusi	HHHLL	n	9	Christmas
	khiyi	HL	n	9	key
	khole	LH	n	9	rope held by someone leading cattle in a span
	khona	LL	v		manage; accomplish something
	khona	HH	v		take a turn at a corner
	khong'wana	LHL	n	9	young yearling ox
	khonsata	HLH	n	9	concert
	khoodza-ntanda	HHLHL	n	7a/2a	woodpecker
	khubu	HL	n	9	swing
	khubula	HHL	v		to swing, as in a swing
	khunou	HHL	adj.		denotes an ox or any male animal that is reddish brown in colour
	khunwana	HHL	adj.		denotes a cow or any female animal that is reddish brown in colour
	khupe	LL	n	7	hare (used as a totem)
	khuta	LL	v		miss a target
	khuta	HH	n	9	enclosure where the community assembles to discuss matters of importance to the community; a council
	khuwa	HL	n	5	white person; European
i	khuwa	HL	n	7	English language
chi	khwa	L	n	7	veld; bush on the countryside
	khwa	H	v		dry up, as of a well; pound, as with corn
n	khwa	H	n	1	Bushman, or Mosarwa in Tswana
zwi	khwa	L	n	8	forests; clumps of trees; jungles
	kHwana	HL	n	9/10	wild animal of the jackal family, eats goats
	khwathe	LH	n	9/10	inguana
	khwathisa	LLL	v		strike on the back using either a big stick or a whip
	kHwe	H	n	9/10	sweet reed; sugar cane
n	khwe	L	n	3	crack
n	khweetsi	HHL	n	1	driver
	khwila	HL	v		pound, as of some grain, for/at; to dry up, as of a pot on fire
bu	khwilo	HL	n	14	flour from grounded peanuts
	khwiriri	LLL	n	5	snore
	khwiriridza	LLLL	v		snore
	khwisa	HL	v		dry up of a cow's milk as a result it starts driving away the calf
	kHwizana	LLH	n	9/10	lamb
	kHwizha	LL	n	9/10	giraffe
	kHwizi	LL	n	9/10	sheep
	kitili	HHL	n	9	kettle
	koama	HHL	v		stay put, as a group of waiting people
	koba	LL	v		distribute or give away as a present
n	koba	LL	n	3	door; an entrance; gateway
	kobana	LLL	v		apportion tasks or things mutually
li	kobana	LLH	n	11	stream
	kobanya	LLL	v		distribute indiscriminately and aimlessly; squander
	kobeka	LLL	v		be distributable
n	kobi	LL	n	1	distributor or a giver
	kobola	HHL	v		to stamp wild raisins in a mortar with a pestle
	koboto	HHL	n	9	cupboard
ma	koda	LL	n	6	bow-legged
	kodhu	LH	adj.		fat; big
	kodzonga	HHL	v		stir; row a boat
	koga	HL	aux. v		however; nevertheless; only
	koga	HL	conj.		only
n	kojwana	LLH	n	3	small opening between two posts
i	koka	HL	n	7	blackjack; grass that sticks on to clothes
	koka	HH	v		invite
bu	koko	HH	n	14/6	crust on the side or botton of a utensil in which food was cooked
	kokodza	HHL	v		knock, as on a door
i	kokola	HHH	n	7	elbow
	kokonola	LLLL	v		remove something that had hardened onto another hard surface
	kokorobhana	HHHHL	v		corrugate; crimp; make wrinkles in
	kokota	HHL	v		eat the remnants; scrape something with a finger
	kologwe	LLH	n	7a/2a	last-born child in the family
n	kololo	HHH	n	1	son of; daughter of
	kolomola	HHHL	v		dismantle; destroy
	kolota	HHL	v		owe; take on credit
	koloyi	HHL	n	9	wagon; vehicle 
bu	komba	LL	n	14	stubbornness
	komba	HH	v		to surround something
	kombama	HHL	adj.		crooked, not straight
n	kombe	HL	n	3	dry gourd used for drawing water
	kombela	HHL	v		help in a fight by also beating the person being fought
i	kombo	HH	n	7	navel; belly button
lu	kombo	LL	n	11	threshing stick; a big stick
	kometHela	HHHL	v		nail to; knock in, as of a nail or a peg
n	komoto	HHL	n	3	traditional dancing to a rhythm of drums
	kona	LL	v		refuse
	konesa	LLL	v		cause to be difficult
	kong'wa	LL	v		fail; not succeed
i	kongo	LL	n	7	clitoris
n	kono	HL	n	3	bull
mi	kono	HL	n	3	January; bulls
i	konsi	HL	n	7	scone
i	kontiri	LHL	n	7	tar
i	konyana	LLH	n	7	insect
	koobedza	HLHL	v		to kill an animal that is already wounded or suffering; kill a person already helpless
i	kopelo	LLL	n	7	safety pin
	kopelo	HHL	n	9	hymn book
	kopi	HL	n	9	cup
	kopodza	HHL	v		to get something in the eye; dazzle
	korokorwana	LLLLL	n	9	padlock
	koroni	LHL	n	9	crown
	kose	HL	pron.		all
n	kosho	LL	n	3	type of tree
	koshodza	HHL	v		cause to cough
	koshola	HHL	v		cough
n	kota	LH	n	3	epistaxis; haemorrhage from the nose
	kotama	LLL	v		stoop; crouch, as if hiding; bend forward
	kotamuka	LLLL	v		to unbend; to straighten
	kotHomela	HLHL	v		nail into, as with a nail
	kotoka	LLL	v		arrive; reach one's destination
bu	kotokelo	LLLL	n	14	place of arrival; station
	kotosa	LLL	v		bring cattle home; marry a wife
	kotoshio	LLHL	n	7a	small type of owl
i	kotsikara	HHHL	n	7	 donkey cart
i	kowa	LL	n	7	weakling; sickling
	koyi	LH	n	9	skipping rope
	ku-kwe	LH	poss.		his; hers
n	kuba	HL	n	3	Acacia burkei; Acacia negriscenstree
i	kuba	HL	n	7	chaff from grain; a useless person or animal
	kubadza	HHL	v		hurt someone where it is sore or where there is a sore
	kubala	HHL	v		get hurt or injured
	kubi	LH	adv.		a lot
	kubikubi	LHLL	adv.		a lot more
	kubungana	HHHL	v		assemble; gather together
	kubunganya	HHHL	v		gather things together; gather into a group
mu	kuchukuchu	HHHH	n	3	watermelon that is just water inside i.e. gone bad
	kudula	HHL	v		knock one with head
	kudza	HL	v		bring-up a child; cause to grow
	kudza	LH	conj.		until
	kuelela	HHHL	v		jeer at someone; make fun of by loud abusive shouts
	kukama	HHL	n	9	gemsbok or oryx gazelles
n	kuku	LL	n	3	stream
	kuku	LH	n	1a	grandmother
	kukubugwani	HHHLL	n	7a/2a	beetle
	kukula	HHL	v		scrape a surface, as a pot with a scraper
i	kukulo	HHL	n	7	scraper, used on pots
	kukumuka	LLLL	v		rise in bulk or increase; raise as of dough
	kukuna	HHL	v		eat meat off a bone
	kula	HH	v		grow in height or age; has grown tired of something
	Kula	HL	n	5	Indian
	kula	LL	v		weed, using a hoe or a spade
bu	kule	LL	n	14	far; distance
	kulekule	LLLL	adv.		far away; far off
	kulidzila	HHHL	v		pull up trousers or underwear when hanging low when worn
	kuligwa	HHL	v		be in an advanced stage of pregnancy
bu	kulu	HL	n	14	greatness; age; position of importance
i 	kulu	LH	n	7	impetigo; ringworm
n	kulu	HL	n	1	an elder; an older sibling
	kulukugwi	HHHL	adj.		old, as of a garment or utensil
bu	kulukulu	HHLL	n	14	largeness; huge
	kulukulu	LHLL	adj.		big; huge
	kulumuka	HHHL	v		come in large numbers as of people
	kuma	LL	v		touch lightly intentionally 
	kuma	HL	v		roar as of a bull or a lion; groan from pain
	kumba	LL	v		visit
	kumbila	HHL	v		beg; ask for; request
	kumbudzana	HHHL	v		remind each other
	kumbula	HHL	v		think; ponder; consider
n	kumbulo	HHL	n	3	idea; thought
	kumbuludza	HHHL	v		cause to recollect; remind
	kunda	HH	v		defeat
n	kundi	HL	n	1	victor; conqueror
	kundiwa	HHL	v		being overpowered or defeated
	kung'we	LL	adv.		anywhere
	kunguludza	HHHL	v		roll something on the ground; cause a thing to roll down, as a tank
	kunguluka	HHHL	v		roll down a steep slope; tumble down
i	kungululu	HHLH	n	7	reel of thread
lu	kuni	HL	n	11	piece of wood
n	kununu	HHH	n	3	creeper like plant that grows small melons that are edible
	kunupo	HHL	n	9	button
i	kunyana	HHH	n	7	twig
n	kupa-vula	HHLL	n	3	ox's dewlap
i	kupu	LH	n	7	water container
	kurukidza	HHHL	v		pacify an infant
bu	kuse	HL	n	14	fur; animal hair
	kusi	LH	adv.		underneath; below
	kuswa	HL	v		sharpen, as a knife
li	kuta	HL	n	11	fence around a  field of branches of trees; a hedge; a fence
i	kuta	HL	n	7	motorbike
	kutHa	LL	v		to come in contact with unintentionally
	kutHiwa	LLL	v		trip on; stumble on
n	kutHu	LH	n	3	type of tree
n	kutHu-lifumo	LLHHL	n	3	type of tree
	kutHubula	HLHL	v		remove leaves and twigs from a branch from a tree
	kuti	HL	conj.		so that; in order that
	kuti	LL	conj.		that
	kuwa	HL	v		shout loudly; scream
i	kuyu	LH	n	7	water bottle; large container used for carrying water or liquid
	kuzwa	HH	v		be with small chicks of a hen
n	kwakwa	LL	n	3	spineless monkey orange tree
ma	kwakwa	HL	n	6	dry velds
n	kwala	LH	n	3	foot mark, as of an animal
	kwala	HL	v		write
n	kwaleri	HHL	n	1	secretary
n	kwali	HL	n	1	writer
lu	kwalo	HL	n	11	book; letter
i	kwama	HH	n	7	purse
	kwamula	LLL	v		break off something
	kwanga	LL	v		be full of milk, as of an animal or a human being; have plenty of fruit in a fruit tree
	kwanyula	LLL	v		remove the corn from the stalks
ma	kwapa	LL	n	6	rough surface, as the body of a reptile
bu	kwasha	HL	n	14	of the in-laws, of the husband's side
n	kwasha	HL	n	1	son-in-law; the bridegroom
i	kwashi	HL	n	7	squash
i	kwata	LL	n	7	group of people
	kwaula	HHL	v		break off a branch or twig at its junction with the rest of the tree
ma	kwayi	HL	n	6	rumours; hearsay
	kwazo	HL	adv.		much; hard
	kwazokwazo	HLHL	adv.		a lot more
	kweba	LL	v		pull; draw in or out
	kweba-makumbo	LLLLL	v		walk slowly; drag one's feet
	kwegula	HHL	v		become old, or aged
i	kwele	HL	n	7	school
	kwemula	LLL	v		break off a piece, as of a cup, dish etc.
	kwemulanya	LLLL	v		to separate mutually amongst
i	kweya	HL	n	7	square or platform
lu	kwezha	HL	n	11	millet or small type of grain that is used in brewing traditional beer
	kwiba	HL	v		steal; pilfer
	kwiila	HHL	v		to mate, as of animals
n	kwinya	HL	n	1	peer; companion; comrade
	kwiya	LL	v		grind, as corn to make flour
	labana	LLL	v		take turns at something
	labanya	LLL	v		make alternate; make take turns
	labhula	HHL	v		throw away abruptly, as with a hand or with a stick
	labidza	LLL	v		cause to taste food
	labila	LLL	v		taste food especially while cooking
	labuka	HHL	v		to run
	labukila	HHHL	v		try to catch up with someone in a distance; go after; run for
	ladzika	HHL	v		cause or help to lie down; be hospitalized
ma	ladzwa	HL	n	6	leftover food from the previous day(s); nonsense, when someone is saying rubbish
	lakidza	HHL	v		show; explain the workings of; show to; point out to
ma	lala	LL	n	6	refuse; gabbage
	lala	HH	v		lie down; spend the night
n	lala	LL	n	3	wild plant used for making baskets
n	lalabungu	LLHL	n	3	rainbow
n	lalahanga	HHHL	n	3	type of tree
	lalana	HHL	v		have sexual intercourse
	lalila	HHL	v		brood over, as of hen on eggs; have an evening meal; ambush; do something for the whole night
	laluka	HHL	aux.		refers to a time past, especially the past year
	lamba	LL	v		refuse
	lambi	HL	n	5	lantern; lamp
	lambiwa	LLL	v		be rejected; divorced
n	landa	LL	n	1	slave; servant; serf
n	landu	LH	n	3	fault; error; debt
	landula	LLL	v		deny a fault; give a negative answer
n	landuli	LLL	n	1	one who gives the final condolence message at the funeral; report someone's death
	lang'wa	LL	v		to sulk; to refuse, as when fed up
	lang'wilana	LLLL	v		refuse to associate with each other
	langa	LL	n	5	white discharge of the eye
	langwa	HH	n	5	sputum
	lapa	LL	v		to cure; heal
n	lapi	LL	n	1	healer; doctor
	lapkha	LL	v		be cured or healed
	lasha	HL	v		cast away; throw away; misplace
	lashika	HHL	v		get lost; become cast away
	lashila	HHL	v		throw into; throw to
n	lauri	LHL	n	1	governor; a ruler
mu	lavu	HL	n	3	rabies; animal with rabies
bu	lawo	HL	n	14/6	bed
n	lawo	LL	n	3	law; regulation; rule
	laya	LL	v		instruct; lay down the rules; give advice, as when someone is getting married
chi	layi	HL	n	7	slice
	layila	LLL	v		guide; instruct; direct; give a message
	layilila	LLLL	v		give message that something be done 
chi 	layilo	HHL	n	7	evening meal; dinner; the sacrament taken in church
	layita	HHL	v		light some fire, a torch or a lamp
	leba	HL	v		talk; speak
	lebanya	HHL	v		babble; chatter or talk too much
chi	lebanyi	HHL	n	7	babbler; gossip
n	lebelekeli	HHHHL	n	3	lawyer
chi	lebeleki	HHHL	n	7	speaker; an orator
	lebesa	HHL	v		cause to speak; speak to; tell the truth
	lebeswa	HHH	n	5	truth
	lecha	LL	v		let alone; leave alone
	lechedza	LLL	v		leave alone
	lechedzela	LLLL	v		allow; permit
chi	ledhu	LL	n	7	chin
	lefu	LH	adj.		tall; long
	lefulefu	LHLL	adj.		very long or tall
	leisa	HHL	v		cause to avoid something
	lekula	HHL	v		visit; call to enquire after the health of a sick person
	lekulisa	HHHL	v		tell friends or relatives on the health of someone sick
	lele	HL	n	5	ladder
	lele	HH	v		is asleep
bu	lelu	HH	n	14	lightness; not heavy; quick, easy, swift
	lelu	HL	adj.		light in weight
	lema	LL	adj.		heavy
	lema	HL	v		cause to form a habit; spoil a child
chi	lema	HL	n	7	cripple; disabled person; a maimed animal
	lemala	HHL	v		get injured as a result be disabled; make a habit of something; get spoiled 
	lembedza	LLL	v		dangle or carry by holding down loosely
	lembeledza	LLLL	v		hang down; suspend on something
	lengudza	HHL	v		make light (decrease weight)
bu	lengwe	HL	n	14	foolishness
chi	lengwe	HL	n	8	foolish person
n	lenje	LL	n	3	custom; tradition
n	leta	LL	n	3	wedding feast
	lete	HL	v		bring
	leuka	HHL	v		be sprained, as of an ankle or any joint
	leula	HHL	v		cause to sprain
	levu	HL	n	5	edible inside of a watermelon
	leya	HH	v		avoid; go around something 
	leyana	HHL	v		alternate; take turns; be mad at one another; pass each other going in opposite directions
	leyanya	HHL	v		make to cross the other
chi	leyi	HL	n	7	sledge
chi	leyiti	HHH	n	7	slate
	lezwa	HH	v		play with a baby
	libilidza	HHHL	adj.		do something quickly; hurry; be in haste
n	libo	HL	n	3	type of greens 
	lidza	LL	v		cause to cry; play a musical instrument; to ring; to dial, as a telephone
n	lidzo	HL	n	3	whistle, produced by the lips
chi	lidzo	LL	n	7	musical instrument
	liga	LL	v		let fall; drop something
	ligila	LLL	v		cast down to or for; bring to an end, as of speech; to finish; drop into
	likhwa	LL	v		be paid; be rewarded
	lila	LL	v		cry; weep; wail
chi	lilo	LL	n	7	cry; mourning
	lima	LL	v		plough; till the ground in preparing for sowing some seeds; dig
	lima	HL	n	5	darkness
lu	limi	HH	n	11	tongue; language
n	limi	LL	n	1	farmer; ploughman; a tiller of soil
chi	limi	HL	n	7	speech empidement, as of a child learning to talk
n	limisi	LLL	n	1	agricultural officer
chi	limo	LL	n	7	summer season
